indiv	rname	startpos	endpos	numreads	covbases	coverage	meandepth	meanbaseq	meanmapq
OL5_S35	SUPER__23	1	2327365	255076	2302053	98.9124	15.6673	36.4	54.4
PAGC60003_S38	SUPER__1	1	244374582	29466212	239491877	98.002	17.3654	36.7	52.3
PAGC60003_S38	SUPER__2	1	212563729	26789345	210193432	98.8849	18.1006	36.6	54.8
PAGC60003_S38	SUPER__3	1	211792393	26670959	209189829	98.7712	18.0912	36.6	54.2
PAGC60003_S38	SUPER__4	1	121730464	15098161	119940140	98.5293	17.8905	36.6	53.2
PAGC60003_S38	SUPER__5	1	113776203	13800789	110462589	97.0876	17.4545	36.7	53.9
PAGC60003_S38	SUPER__6	1	111457381	14177583	110602002	99.2326	18.3433	36.7	55.8
PAGC60003_S38	SUPER__7	1	98951147	12412312	97337915	98.3697	18.0426	36.7	55
PAGC60003_S38	SUPER__8	1	93510542	11783083	92410119	98.8232	18.2051	36.7	55.3
PAGC60003_S38	SUPER__9	1	91912741	11635252	90939201	98.9408	18.271	36.7	56.1
PAGC60003_S38	SUPER__10	1	84231690	10615203	82775772	98.2715	18.1044	36.7	53.9
PAGC60003_S38	SUPER__11	1	83622935	10709440	82425378	98.5679	18.3174	36.6	54
PAGC60003_S38	SUPER__12	1	81635540	10423629	80376421	98.4576	18.427	36.7	53.1
PAGC60003_S38	SUPER__13	1	72972725	9268825	71468678	97.9389	18.3223	36.7	50.1
PAGC60003_S38	SUPER__14	1	61507012	7614556	59128893	96.1336	17.3395	36.5	50.7
PAGC60003_S38	SUPER__15	1	60856427	7813145	60206421	98.9319	18.4171	36.6	54.9
PAGC60003_S38	SUPER__16	1	55580494	7096741	55222947	99.3567	18.3757	36.7	56.2
PAGC60003_S38	SUPER__17	1	54681234	6744159	53174626	97.2447	17.682	36.6	53.9
PAGC60003_S38	SUPER__18	1	52719951	6619695	52163147	98.9438	18.0904	36.7	56.1
PAGC60003_S38	SUPER__19	1	43711415	5513910	43205825	98.8433	18.1664	36.7	56.1
PAGC60003_S38	SUPER__20	1	28462450	3611135	28084742	98.673	18.1969	36.6	55.2
PAGC60003_S38	SUPER__21	1	25775296	2630950	23264095	90.2573	14.5592	36.6	37.2
PAGC60003_S38	SUPER__22	1	17753772	2254076	17500173	98.5716	18.0642	36.6	54.2
PAGC60003_S38	SUPER__23	1	2327365	297306	2301071	98.8702	18.282	36.5	55.1
PAGC60009_S37	SUPER__1	1	244374582	30506839	239635577	98.0608	17.9742	36.4	52.2
PAGC60009_S37	SUPER__2	1	212563729	27689242	210453961	99.0075	18.7017	36.4	54.8
PAGC60009_S37	SUPER__3	1	211792393	27611252	209500903	98.918	18.7261	36.4	54.2
PAGC60009_S37	SUPER__4	1	121730464	8672057	119412520	98.0958	10.0823	36.4	49.3
PAGC60009_S37	SUPER__5	1	113776203	14248083	110592549	97.2018	18.0115	36.4	53.9
